,year,title,genre,avg_vote,movie_rating,duration,watchability
55,2005,Extreme Dating,"Action, Romance, Comedy",5.2,okay,96,really long movie
56,2005,Tracks,"Drama, Crime",5.0,okay,92,really long movie
57,2005,The Curse of the Were-Rabbit,"Animation, Adventure, Come",7.4,good,85,avg length movie
58,2006,Humko Tumse Pyaar Hai,"Drama, Romance",4.8,okay,128,really long movie
59,2005,Break a Leg,"Comedy, Drama, Thriller",5.1,okay,98,really long movie
60,2005,Constellation,Drama,3.8,okay,96,really long movie
61,2005,Because of Winn-Dixie,"Comedy, Drama, Family",6.3,good,106,really long movie
62,2006,Cars,"Animation, Comedy, Family",7.1,good,117,really long movie
63,2006,Mission: Impossible III,"Action, Adventure, Thrille",6.9,good,126,really long movie
64,2005,A Sound of Thunder,"Action, Adventure, Horror",4.2,okay,101,really long movie
65,2005,Sahara,"Action, Adventure, Comedy",6.0,okay,124,really long movie
66,2005,Thumbsucker,"Comedy, Drama",6.6,good,96,really long movie
67,2005,El viento,"Drama, Romance",6.8,good,92,really long movie
68,2005,Kingdom of Heaven,"Action, Adventure, Drama",7.2,good,144,really long movie
69,2005,Blodsbröder,"Crime, Drama",2.8,bad,90,no data
70,2006,30 Days,"Drama, Sport",3.8,okay,93,really long movie
71,2005,Ze film,Comedy,5.4,okay,105,really long movie
72,2006,Loving Annabelle,"Drama, Romance",6.3,good,77,avg length movie
73,2005,Los suicidas,Mystery,5.5,okay,80,avg length movie
74,2006,"Arrivederci amore, ciao","Crime, Drama, Thriller",6.9,good,107,really long movie
75,2005,Sabah,"Comedy, Drama, Romance",6.8,good,86,avg length movie
76,2005,"Jesus, Mary and Joey","Comedy, Romance",4.8,okay,105,really long movie
77,2005,Her Name Is Carla,"Drama, Thriller",5.0,okay,85,avg length movie
78,2005,The Great Raid,"Action, Drama, War",6.7,good,132,really long movie
79,2006,Over the Hedge,"Animation, Adventure, Come",6.7,good,83,avg length movie
80,2005,The Bike Squad,"Comedy, Family",3.1,okay,79,avg length movie
81,2005,Dirty Love,"Comedy, Romance",3.6,okay,91,really long movie
82,2005,Lung do kei yuen,"Animation, Action, Adventu",4.9,okay,85,avg length movie
83,2005,My Suicidal Sweetheart,"Comedy, Drama",5.5,okay,115,really long movie
84,2006,Neil's Party,"Comedy, Drama",4.8,okay,89,avg length movie
85,2005,Taj Mahal: An Eternal Love Story,"Drama, History, Musical",5.2,okay,164,really long movie
86,2006,The Creature of the Sunny Side Up Trailer Park,"Comedy, Horror, Mystery",3.9,okay,105,really long movie
87,2005,xXx: State of the Union,"Action, Adventure, Crime",4.4,okay,101,really long movie
88,2005,Harry Potter and the Goblet of Fire,"Adventure, Family, Fantasy",7.7,good,157,really long movie
89,2006,Satan's Playground,Horror,3.3,okay,81,avg length movie
90,2005,Man of the House,"Comedy, Crime",5.4,okay,100,really long movie
91,2005,Fever Pitch,"Comedy, Drama, Romance",6.2,good,104,really long movie
92,2005,Antikörper,"Crime, Drama, Horror",7.0,good,127,really long movie
93,2005,Dot.Kill,"Crime, Drama, Thriller",4.7,okay,87,avg length movie
