,year,title,genre,avg_vote,movie_rating
285,2005,Left for Dead,"Action, Adventure, Crime",3.5,okay
286,2005,Piggy Banks,"Crime, Drama",5.4,okay
287,2005,Schneeland,"Drama, Romance",6.8,good
288,2005,Target of Opportunity,"Action, Drama",3.8,okay
289,2005,Dead Fish,"Action, Comedy, Thriller",5.4,okay
290,2005,Ghosts Never Sleep,Drama,4.3,okay
291,2005,Bailey's Billion$,"Comedy, Family",3.9,okay
292,2005,Capote,"Biography, Crime, Drama",7.3,good
293,2005,Serenity,"Action, Adventure, Sci-Fi",7.8,good
295,2005,Back in the Day,"Action, Crime, Drama",4.4,okay
296,2005,Goal!,"Drama, Romance, Sport",6.7,good
297,2005,Oliver Twist,"Crime, Drama",6.8,good
298,2005,The Perfect Man,"Comedy, Family, Romance",5.5,okay
299,2005,Pogled sa Ajfelovog tornja,"Drama, Romance",4.7,okay
300,2005,Winter Passing,"Comedy, Drama",6.3,good
301,2005,Une aventure,"Drama, Romance",5.0,okay
304,2005,Flirt,"Romance, Comedy",5.8,okay
306,2005,The Last Sign,"Drama, Fantasy, Romance",3.3,okay
307,2005,Pretty Persuasion,"Comedy, Drama",6.5,good
308,2005,Slipstream,"Action, Sci-Fi, Thriller",4.5,okay
309,2005,Vers le sud,Drama,6.3,good
311,2005,The Good Humor Man,"Drama, Romance",6.0,okay
312,2005,Heights,"Drama, Romance",6.9,good
313,2005,Hide and Seek,"Drama, Horror, Mystery",6.0,okay
314,2005,La historia del baúl rosado,"Crime, Drama, Mystery",6.2,good
316,2005,Rosario Tijeras,"Crime, Drama, Romance",6.3,good
317,2005,Vet hard,"Action, Comedy, Crime",6.2,good
318,2005,Things to Do Before You're 30,"Comedy, Drama, Romance",5.6,okay
319,2005,Die Bluthochzeit,"Action, Comedy, Drama",6.6,good
321,2005,Dallas Pashamende,Drama,6.5,good
322,2005,Dark Water,"Drama, Horror, Mystery",5.6,okay
324,2005,Look Both Ways,"Drama, Mystery, Romance",7.0,good
325,2005,Little Fish,"Crime, Drama, Romance",6.2,good
326,2005,Planetfall,"Action, Sci-Fi, Western",3.0,okay
327,2005,Kameleon 2,"Adventure, Comedy, Family",5.9,okay
328,2005,Stealth,"Action, Adventure, Sci-Fi",5.1,okay
329,2005,Vom Suchen und Finden der Liebe,"Comedy, Drama, Music",5.7,okay
332,2005,BloodRayne,"Action, Adventure, Fantasy",2.9,bad
333,2005,Deepwater,"Crime, Mystery, Thriller",5.4,okay
334,2005,Evil Aliens,"Comedy, Horror, Sci-Fi",5.3,okay
336,2005,Mall Cop,Comedy,5.0,okay
337,2005,Mouth to Mouth,Drama,6.2,good
339,2005,Sueño,"Comedy, Drama, Music",5.2,okay
340,2005,Police Beat,"Crime, Drama",6.7,good
341,2005,Af banen,"Comedy, Sport",5.0,okay
342,2005,Cry Wolf,"Drama, Horror, Mystery",5.8,okay
344,2005,Swimmers,Drama,6.5,good
